day,spacecraft_x_km,spacecraft_y_km,spacecraft_vx_km_s,spacecraft_vy_km_s,earth_x_km,earth_y_km,moon_x_km,moon_y_km,mars_x_km,mars_y_km,distance_to_mars_km
7.5,148833854.79183853,21185314.06599397,-3.8299571418680713,32.496402840621904,148354563.81790912,19246981.90293341,148330751.52090427,19630643.64784858,149453252.9164805,172104631.22566608,150920588.21108043
8.0,148662957.59675008,22588281.009899717,-4.081843505028048,32.455459544546194,148183534.15843853,20522259.19066403,148115860.7492687,20900655.371526543,148664640.5857746,172786294.41058818,150198013.41011754
8.5,148481192.64910817,23989438.40702963,-4.333095071680789,32.41261655342877,148001542.23734465,21796018.290995307,147890901.48450893,22164151.39710225,147872919.19583005,173464344.0743472,149476143.31674284
9.0,148288587.2792168,25388702.879913483,-4.5837146808800515,32.36781564684612,147808601.51795226,23068164.974291127,147656454.66333005,23421173.040245097,147078105.30410585,174138766.03672817,148754988.3391089
9.5,148085168.86485878,26785988.8298858,-4.833697712438568,32.32101167498966,147604726.273552,24338605.13019809,147413082.73365656,24671825.948299747,146280215.53273535,174809546.19338298,148034561.47493288
10.0,147870965.10549346,28181208.938356698,-5.083034182920725,32.27216975983429,147389931.58634427,25607244.774607614,147161322.41378713,25916277.46903126,145479266.56817845,175476670.51612553,147314877.80703405
10.5,147646004.22049046,29574274.563000545,-5.331710209489932,32.221263191786505,147164233.3463237,26873990.05660862,146901677.8019865,27154753.206145376,144675275.16087267,176140125.05322513,146595954.10879704
11.0,147410315.09387115,30965096.05458347,-5.579709050064086,32.16827183256046,146927648.2501035,28138747.265430406,146634613.92750144,28387532.807166964,143868258.1248829,176799895.92969805,145877808.53229967
11.5,147163927.38074714,32353583.013235707,-5.827011854398123,32.11318089006361,146680193.79968038,29401422.837375145,146360550.8281583,29614945.039397612,143058232.3375498,177455969.34759793,145160460.3592667
12.0,146906871.5859004,33739644.49805285,-6.073598214657011,32.055979969331766,146421888.30113962,30661923.362739492,146079858.23274288,30837362.219075598,142245214.73913658,178108331.58630428,144443929.80025995
12.5,146639179.121804,35123189.20037585,-6.31944657475976,31.99666233028703,146152750.86330107,31920155.592724837,145792850.91837698,32055194.06740385,141429222.3324751,178756969.0028093,143728237.83126476
13.0,146360882.35125706,36504125.588539205,-6.564534538818757,31.93522430191092,145872801.39630538,33176026.4463356,145499784.8041879,33268881.074680433,140610272.18260998,179401868.03200334,143013406.0595382
13.5,146072014.61835697,37882362.0300039,-6.8088391065190885,31.871664815780356,145582060.61014113,34429443.01726515,145200853.8328448,34478887.46026279,139788381.41644186,180043015.18695852,142299456.61255407
14.0,145772610.27051848,39257806.89540832,-7.052336854935981,31.805985031481033,145280550.01311272,35680312.58076878,144896187.6811278,35685693.82143444,138963567.22236922,180680397.05921078,141586412.04533145
14.5,145462704.67353824,40630368.64804172,-7.295004080623231,31.738188033323727,144968291.9102493,36928542.60052328,144585850.32974648,36889789.568351544,138135846.8499289,181314000.31904042,140874295.26250917
15.0,145142334.2211953,41999955.92146845,-7.5368169119065564,31.66827858283013,144645309.40165463,38174040.73547254,144269839.51127565,38091665.245071605,137305237.60943526,181943811.71575066,140163129.4523382
15.5,144811536.34050947,43366477.58744613,-7.7777513985976645,31.59626291516252,144311626.38079828,39416714.846658714,143948087.0434775,39291804.838171095,136471756.8716183,182569818.0779449,139452938.03037453
16.0,144470349.49351475,44729842.81583117,-8.017783584426336,31.522148570422885,143967267.5327479,40656473.00403846,143620460.04358575,40490678.17462255,135635422.0672604,183192006.31380212,138743744.59112027
16.5,144118813.17620376,46089961.127820365,-8.256889566118693,31.44594425280535,143612258.33234328,41893223.49328367,143286763.00749144,41688733.50942237,134796250.68683165,183810363.4113508,138035572.8662206
17.0,143756967.91515338,47446742.44360876,-8.495045542061733,31.3676597121383,143246625.0423116,43126874.82256629,142946740.7263461,42886390.40095462,133954260.28012407,184424876.4387407,137328446.6880995
17.5,143384855.26223367,48800097.12533486,-8.732227852774317,31.287305643532125,142870394.7113247,44357335.72932672,142600082.00203818,44084032.96827557,133109468.45588475,185035532.5445138,136622389.9581374
18.0,143002517.78771234,50149936.016019486,-8.96841301487491,31.20489360175155,142483595.17199793,45584515.18702506,142246424.1124461,45282003.61945935,132261892.8814475,185642318.9578726,135917426.61866006
18.5,142609999.07200953,51496170.475074194,-9.203577749843262,31.120435927627657,142086255.03883144,46808322.41187521,141885357.96746927,46480597.33392404,131411551.28236327,186245222.98894757,135213580.6281456
19.0,142207343.69630396,52838712.41085123,-9.437699008578697,31.033945684365143,141678403.70609304,48028666.869560696,141516433.88771307,47680056.57433986,130558461.44202968,186844232.02906224,134510875.9391622
19.5,141794597.23215428,54177474.3106242,-9.670753992535621,30.945436602022202,141260071.34564382,49245458.281932265,141139167.92948127,48880566.89540714,129702641.20131886,187439333.55099708,133809336.4786352
20.0,141371806.23026967,55512369.26832116,-9.902720172047818,30.854923028772127,140831288.90470618,50458606.63368638,140753048.67251217,50082253.30758679,128844108.4582045,188030515.10925144,133108986.13011172
20.5,140939018.20854187,56843311.010277815,-10.133575302323926,30.762419887817806,140392088.10357425,51668022.1790244,140357544.3807827,51285177.44389578,127982881.1673875,188617764.34030378,132409848.71774593
21.0,140496281.63942787,58170213.91923501,-10.36329743749668,30.667942639038827,139942501.4332675,52873615.448291734,139952110.44177783,52489335.56727342,127118977.3399205,189201068.96287024,131711947.99177395
21.5,140043645.93676355,59492993.05676747,-10.591864943031165,30.57150724461719,139482562.153127,54075297.254596554,139536196.98594254,53694657.444922306,126252415.04283121,189780416.77816153,131015307.61528528
22.0,139581161.4420717,60811564.184302084,-10.819256506736872,30.473130138021567,139012304.28835496,55272978.700407684,139109256.5856544,54901006.104577884,125383212.39874443,190355795.67013803,130319951.152127
22.5,139108879.41042,62125843.78285985,-11.045451148581275,30.372828195838007,138531762.62749773,56466571.184131,138670751.93200397,56108178.476012,124511387.58550334,190927193.60576314,129625902.05580217
23.0,138626851.99587947,63435749.07163412,-11.270428229464692,30.270618712022113,138040972.71987218,57655986.40666394,138220163.3879609,57315906.909384385,123636958.83578905,191494598.63525498,128933183.65924656
23.5,138135132.23662317,64741198.025502786,-11.494167459087144,30.16651937421955,137539970.8729358,58841136.377927706,137756996.3181378,58523861.550475426,122759944.43673949,192057998.89233622,128241819.16538228
24.0,137633774.03970227,66042109.39155646,-11.716648903013802,30.060548241859532,137028794.1496008,60021933.42337653,137280788.0983117,59731653.54151578,121880362.72956681,192617382.5944824,127551831.63836434
24.5,137122832.16553333,67338402.70471431,-11.937852989027018,29.952723725773932,136507480.3654923,61198290.19048364,136791114.71209306,60938839.00542494,120998232.10917398,193172738.04316816,126863243.99544573
25.0,136602362.21212515,68629998.30248845,-12.15776051283768,29.843064569134015,135976068.08615085,62370119.65520335,136287596.84758314,62144923.76092357,120113571.02377,193724053.62411183,126176078.99939889
25.5,136072420.59907088,69916817.33895002,-12.376352643216391,29.73158982952924,135434596.62417933,63537335.12840896,135769905.41346395,63349368.70633179,119226397.97448398,194271317.80751878,125490359.25143956
26.0,135533064.55133125,71198781.7979432,-12.593610926595298,29.618318862039793,134883106.03633478,64699850.26230575,135237766.40163213,64551595.80103341,118336731.51497842,194814519.148322,124806107.18460453
26.5,134984352.08282864,72475814.50558683,-12.809517291183353,29.503271303176888,134321637.12056512,65857579.0568188,134690965.03211722,65750994.56569291,117444590.25106116,195353646.2864217,124123345.05754457
27.0,134426341.9798736,73747839.14209929,-13.024054050631594,29.386467055583616,133750231.41299096,67010435.865955085,134129349.12550277,66946929.01545993,116549992.84029606,195888687.9469229,123442094.9486959
27.5,133859093.7844423,75014780.25297728,-13.237203907279811,29.26792627340525,133168931.1848329,68158335.40413931,133552831.65827134,68138744.93467744,115652957.99161309,196419632.94037127,122762378.7507996
28.0,133282667.77732214,76276563.25955522,-13.448949955012063,29.147669348251014,132577779.43928438,69301192.75252324,132961392.46728405,69325777.39709927,114753504.46491697,196946470.16298687,122084218.16574264
28.5,132697124.96114182,77533114.46897015,-13.659275681745122,29.02571689568106,131976819.90833038,70438923.36526763,132355079.08084232,70507358.43237934,113851651.07069466,197469188.5968968,121407634.69969688
29.0,132102527.04330185,78784361.0835532,-13.868164971571442,28.902089742162193,131366097.0495123,71571443.07579687,131734006.6653146,71682824.73766364,112947416.66962224,197987777.31036514,120732649.65853447
29.5,131498936.41881926,80030231.20966643,-14.075602106576078,28.776808912444395,130745656.04263905,72698668.10302538,131098357.08798987,72851525.33251892,112040820.17217036,198502225.45802197,120059284.14350341
30.0,130886416.15310065,81270653.86600299,-14.281571768345266,28.649895617317934,130115542.78644478,73820515.05755547,130448377.10849212,74012829.05618086,111131880.53820872,199012522.2810899,119387559.04714559
30.5,130265029.96465649,82505558.99136591,-14.486059039182761,28.521371241717162,129475803.89519338,74936900.94784638,129784375.72259796,75166131.80818635,110220616.77660966,199518657.10760924,118717495.04944389
31.0,129634842.20776884,83734877.45193996,-14.689049403048788,28.391257333143415,128826486.69523013,76047743.18635374,129106720.69349319,76310863.43684295,109307047.94485041,200020619.35266116,118049112.61418566
31.5,128995917.85512426,84958541.04806995,-14.890528746234779,28.259575590384124,128167639.22148046,77152959.59563923,128415834.31623478,77446494.18464006,108391193.14861481,200518398.51858902,117382431.98553063
32.0,128348322.48042317,86176482.52055743,-15.09048335778599,28.12634785251004,127499310.21389666,78252468.4144498,127712188.47131214,78572540.60555635,107473071.54139365,201011984.19521776,116717473.1847737
32.5,127692122.24097599,87388635.55648811,-15.288899929682513,27.99159608813572,126821549.11385201,79346188.30376628,126996299.03258781,79688570.87619343,106552702.32408394,201501366.06007203,116054256.00729284
33.0,127027383.86029683,88594934.79460098,-15.485765556787669,27.85534238493194,126134406.06048337,80434038.35282058,126268719.70342654,80794209.43067016,105630104.74458762,201986533.87859163,115392800.01967208
33.5,126354174.61070402,89795315.83020905,-15.681067736571663,27.71760893938065,125437931.88698193,81515938.08508122,125530035.36237009,81889140.85814357,104705298.09740888,202467477.50434572,114733124.55699398
34.0,125672562.29593718,90989715.219683,-15.874794368616946,27.578418046764742,124732178.11683273,82591807.46420695,124780855.00619414,82973113.01155986,103778301.7232506,202944186.8792451,114075248.7202916
34.5,124982615.23380093,92178070.48450759,-16.06693375391056,27.437792091386015,124017196.96000302,83661566.89996748,124021804.38349938,84045939.28665613,102849135.00861004,203416652.0337524,113419191.37415372
35.0,124284402.23884296,93360320.11491954,-16.257474593928293,27.295753537005357,123293041.30907999,84725137.25413142,123253518.4160754,85107500.04119176,101917817.38537325,203884863.08709067,112764971.14447714
35.5,123577992.60507645,94536403.57313783,-16.44640598951447,27.152324917498945,122559764.73535782,85782439.84632085,122476633.50807826,86157743.13574289,100984368.33040878,204348810.24745,112112606.41635877
36.0,122863456.08875509,95706261.29619464,-16.633717439561387,27.00752882772501,121817421.48487464,86833396.45983173,121691779.84454419,87196683.58899415,100048807.36516038,204808483.8121923,111462115.33212209
36.5,122140862.89120956,96869834.69837618,-16.819398839492194,26.861387914594758,121066066.4743995,87877929.34742029,120899573.78090085,88224402.3521574,99111154.05523846,205263874.16805422,110813515.78947276
37.0,121410283.64175369,98027066.17328201,-17.00344047955129,26.71392486834162,120305755.28736986,88915961.23705457,120100610.42393649,89241044.21877909,98171428.01001137,205714971.79134813,110166825.43977782
37.5,120671789.38066843,99177899.09551157,-17.185833042906875,26.56516241398284,119536544.16977951,89947415.33763085,119295456.50215691,90246814.89761767,97229648.88219506,206161767.24816138,109522061.68646444
38.0,119925451.54227182,100322277.82198554,-17.366567603570637,26.415123302967572,118758490.02601774,90972215.34465434,118484643.61963844,91241977.28732444,96285836.36744188,206604251.19455358,108879241.68353356
38.5,119171341.93808267,101460147.69291104,-17.545635624139933,26.263830305006184,117971650.41465966,91990285.44588412,117668661.98241891,92226847.0022036,95340010.20392911,207042414.37675202,108238382.33418398
39.0,118409532.74008556,102591455.03239657,-17.723028953368647,26.111306200075834,117176083.5442082,93001550.32694162,116847954.6802276,93201787.20821677,94392190.17194588,207476247.63134503,107599500.28954506
39.5,117640096.46410443,103716147.14872657,-17.898739823572754,25.957573770598025,116371848.26878783,94005935.176882,116022912.59901978,94167202.83750719,93442396.09347947,207905741.8854739,106962611.94751273
40.0,116863105.95329127,104834172.3343007,-18.072760847877184,25.80265579378476,115559004.08379085,95003365.69372855,115193870.0314502,95123534.25792605,92490647.83180101,208330888.1570224,106327733.45168704
40.5,116078634.36173786,105945479.8652466,-18.24508501731077,25.646575034150107,114737611.12147604,95993768.08996953,114361101.04320075,96071250.48124094,91536965.29104987,208751677.55480465,105694880.69040835
41.0,115286755.13821548,107050020.0007124,-18.415705697755687,25.489354236185136,113907730.14652006,96977069.09801656,113524816.64309497,97010841.99979778,90581368.41581744,209168101.27875128,105064069.29588915
41.5,114487542.01004936,108147743.98184666,-18.584616626758137,25.331016117194398,113069422.55152243,97953195.97562495,112685162.79431564,97942813.34631553,89623877.19073014,209580150.62009314,104435314.6434387
42.0,113681068.96713464,109238604.03047183,-18.751811910206804,25.171583360292814,112222750.35246372,98922076.51127486,111842219.29293208,98867675.47514752,88664511.6400312,209987816.96154368,103808631.85077967
42.5,112867410.24609765,110322553.34745893,-18.917286018885182,25.01107860756215,111367776.18411784,99883639.02951351,110995999.52848932,99785938.06570213,87703291.82716224,210391091.77747905,103184035.7774526
43.0,112046640.31460899,111399546.11081007,-19.081033784904243,24.849524453366584,110504563.29541835,100837812.39625736,110146451.12976031,100698101.84974168,86740237.8543435,210789966.63411644,102561541.02430703
43.5,111218833.85585359,112469537.47345552,-19.243050398020948,24.68694343782704,109633175.54477966,101784526.02405459,109293457.48707248,101604651.0639638,85775369.86215329,211184433.1896904,101941161.93307713
44.0,110384065.75316171,113532483.56077202,-19.403331401848604,24.52335804045433,108753677.39537266,102723709.87730692,108436840.13104086,102506046.12761319,84808708.02910712,211574483.19462737,101322912.58603975
44.5,109542411.07480617,114588341.46783014,-19.561872689964645,24.35879067394085,107866133.9103562,103655294.4774507,107576361.93623048,103402716.64190038,83840272.57123546,211960108.4917182,100706806.80575205
45.0,108693945.05896957,115637069.25637619,-19.718670501920883,24.19326367811088,106970610.74806361,104579210.90809672,106711731.10737364,104295054.80375223,82870083.74166095,212341301.01628864,100092858.15486762
45.5,107838743.09888628,116678625.95155667,-19.873721419161775,24.026799314029493,106067174.1571456,105495390.82012853,105842605.89543292,105183409.32094733,81898161.83017503,212718052.79636815,99481079.93602858
46.0,106976880.72816207,117712971.53839141,-20.027022360855515,23.859419758269766,105155890.97166932,106403766.43675877,104968599.98116064,106068079.90906623,80924527.16281341,213090355.95285648,98871485.19183162
46.5,106108433.60627624,118740066.9580025,-20.178570579643104,23.69114709733848,104236828.60617405,107304270.55854304,104089288.45498917,106949312.44300215,79949200.10143113,213458202.69968855,98264086.70486628
47.0,105233477.50426885,119759874.103606,-20.32836365730992,23.522003322259597,103310055.05068423,108196836.56835124,103204214.31421037,107827294.82713291,78972201.04327668,213821585.34399724,97658896.99782301
47.5,104352088.29061648,120772355.81627284,-20.476399500384858,23.352010323315426,102375638.86567949,109081398.43629569,102312895.39156967,108702153.63876165,77993550.4205653,214180496.28627425,97055928.33366975
48.0,103464341.91729937,121777475.88046592,-20.62267633567127,23.181189884944903,101433649.17702286,109957890.72461587,101414831.62370247,109573951.58922195,77013268.70005193,214534928.0205291,96455192.71589422
48.5,102570314.40606341,122775199.01936044,-20.767192705714592,23.00956368079838,100484155.67084695,110826248.59251942,100509512.56335106,110442685.83624278,76031376.38260306,214884873.134446,95856701.88881074
49.0,101670081.83487906,123765490.88995373,-20.90994746421092,22.837153268948086,99527228.58839877,111686407.80097876,99596425.03608078,111308287.1699254,75047894.0027678,215230324.309539,95260467.33792928
49.5,100763720.32459985,124748318.07797171,-21.0509397713608,22.6639800872536,98562938.72084345,112538304.71748352,98675060.84030445,112170620.08314647,74062842.1283488,215571274.3213049,94666500.29038492
50.0,99851306.02582258,125723648.09257825,-21.19016908917286,22.49006544888127,97591357.40402721,113381876.32074776,97744924.3888522,113029483.72551943,73076241.35997191,215907716.0393744,94074811.7154259
50.5,98932915.1059514,126691449.3608945,-21.32763517672113,22.315430537976432,96612556.51320016,114217060.2053722,96805540.19109489,113884613.72837745,72088112.33065523,216239642.42766133,93485412.32495846
51.0,98008623.73646809,127651691.22233446,-21.463338085360405,22.140096405487363,95626608.4576992,115043794.58646089,95856460.076735,114735684.87673622,71098475.70537788,216567046.5445096,92898312.57414661
51.5,97078508.08040927,128604343.92276318,-21.597278153903737,21.96408396513955,94633586.17559125,115862018.30419172,94897270.06578968,115582314.59300822,70107352.18064766,216889921.5428385,92313522.66206501
52.0,96142644.28005308,129549378.60848469,-21.729456003766117,21.787413989558996,93633563.1282775,116671670.82834113,93927596.79396312,116424067.18651922,69114762.48406821,217208260.67028582,91731052.53240307
52.5,95201108.44481634,130486767.32006522,-21.85987253407806,21.610107106542902,92626613.29505894,117472692.26276176,92947113.40847741,117260458.81276214,68120727.37390575,217522057.26934916,91150911.8742191
53.0,94253976.63936304,131416482.9859989,-21.988528916773284,21.432183795476302,91612811.1676635,118265023.34981355,91955544.85642315,118090963.07695037,67125267.63865447,217831304.77752504,90573110.12274198
53.5,93301324.87192583,132338499.41622144,-22.11542659165425,21.253664383892865,90592231.74473538,119048605.47474746,90952672.49571463,118915017.2079217,66128404.09660234,218135996.72744632,89997656.46021926
54.0,92343229.08284126,133252791.29547821,-22.24056726143921,21.074569044178208,89564950.52628684,119823380.6700416,89938337.96767995,119732028.72091126,65130157.59539543,218436126.7470172,89424559.81681015
54.5,91379765.1332987,134159334.1765535,-22.363952886794774,20.894917790413977,88531043.50811285,120589291.61968963,88912446.28006718,120541382.48125492,64130549.01160184,218731688.5595467,88853828.87152097
55.0,90411008.7943046,135058104.47336626,-22.485585681357332,20.71473047536086,87490587.17616904,121346281.66344069,87874968.05967616,121342448.0757878,63129599.250275396,219022675.9838799,88285472.05318215
55.5,89437035.73586205,135949079.45393765,-22.605468106747242,20.53402678757862,86443658.50091362,122094294.80099118,86825940.94479126,122134587.3946399,62127329.24451823,219309082.93452698,87719497.54146573
56.0,88457921.51636548,136832237.23323843,-22.7236028675792,20.3528262486816,85390334.93161315,122833275.6961274,85765470.0989506,122917162.32334954,61123759.95504296,219590903.42179087,87155913.26794031
56.5,87473741.57221098,137707556.76591998,-22.839992906472126,20.171148210727587,84330694.39061312,123563169.68081924,84693727.83919182,123689542.44375911,60118912.369734585,219868131.55189222,86594726.91716276
57.0,86484571.2076225,138575017.83893505,-22.954641399062243,19.98901185373845,83264815.26757336,124283922.7592644,83610952.38360876,124451112.64204052,59112807.503211394,220140761.52709264,86035945.92780587
57.5,85490485.58469297,139434601.06405488,-23.067551749022165,19.806436183350794,82192776.41366899,124995481.61188279,82517445.7346846,125201280.52342331,58105466.39638532,220408787.6458163,85479577.49381948
58.0,84491559.71364051,140286287.87028742,-23.17872758308953,19.623440028594736,81114657.1357573,125697793.59926113,81413570.72628035,125939483.5357513,57096910.11602239,220672204.30276865,84925628.56562284
58.5,83487868.44327945,141130060.49620202,-23.28817274610782,19.440042039799298,80030537.19051057,126390806.76604694,80299747.27320229,126665195.70783782,56087159.75430156,220931005.9890541,84374105.85132964
59.0,82479486.45170458,141965901.9821666,-23.395891296082493,19.256260686622614,78940496.77851623,127074469.84479213,79176447.87280461,127377933.91367693,55076236.42837405,221185187.292291,83825015.81800063
59.5,81466488.2371894,142793796.16250238,-23.501887499254813,19.072114256205186,77844616.5383434,127748732.25974569,78044192.41795896,128077263.57982898,54064161.27992158,221434742.89672482,83278364.692925
60.0,80448948.10929632,143613727.65756136,-23.606165825196026,18.887620851444517,76742977.54057784,128413544.13059504,76903542.38982038,128762803.76065229,53050955.47471404,221679667.5833395,82734158.46492806
60.5,79426940.1801981,144425681.86573207,-23.70873094192431,18.702798389389315,75635661.28182419,129068856.27615625,75755094.50700596,129434231.51440138,52036640.2021672,221919956.2299664,82192402.88570316
61.0,78400538.35621022,145229644.95537797,-23.8095877110464,18.51766459975133,74522749.67867732,129714620.21801211,74599473.91498515,130091285.52244428,51021236.674899355,222155603.8113914,81653103.47116823
61.5,77369816.32953234,146025603.856715,-23.908741182926345,18.332237023532944,73404325.06166215,130350788.18409866,73437327.00554937,130733768.90384793,50004766.128287606,222386605.3994603,81116265.50284347
62.0,76334847.57019748,146813546.2536312,-24.006196591882915,18.14653301176825,72280470.1691432,130977313.11223908,72269313.96111614,131361551.1882056,48987249.820024006,222612956.16318148,80581894.02925028
62.5,75295705.31822895,147593460.57545507,-24.10195935141783,17.9605697243757,71151268.14120361,131594148.6536254,71096101.12225524,131974569.42069831,47968709.029670894,222834651.36882722,80049993.86732954
63.0,74252462.57600161,148365335.98867676,-24.1960350494764,17.77436412911979,70016802.51349486,132201249.1762471,69918353.27915964,132572828.38484038,46949165.058215655,223051686.3800326,79520569.60387744
63.5,73205192.10080795,149129162.38862628,-24.28842944374223,17.587933000679474,68877157.21105678,132798569.76826702,68736725.98878723,133156399.94001317,45928639.22762576,223264056.6578924,78993625.59699847
64.0,72153966.39762619,149884930.39111406,-24.379148456967847,17.40129291982089,67732416.54210918,133386066.2413437,67551858.01906075,133725421.48258004,44907152.88040222,223471757.76105618,78469165.97757392
64.5,71098857.71208975,150632631.32403797,-24.468198172342564,17.214460272671626,66582665.19181472,133963695.13390043,66364364.019834,134280093.5509506,43884727.37913374,223674785.34582102,77947194.65074413
65.0,70039938.02365533,151372257.21896076,-24.55558482889947,17.027451250094238,65427988.21601437,134531413.71434033,65174827.51733833,134820676.60626712,42861384.106049776,223873135.16622236,77427715.29740442
65.5,68977279.03896958,152103800.80266315,-24.641314816962836,16.84028184715617,64268471.034934886,135089179.98420766,63983794.32454908,135347487.03127357,41837144.46257322,224066803.0741229,76910731.37571263
66.0,67910952.18543006,152827255.4886755,-24.725394673637563,16.652967862693508,63104199.42686989,135636952.6812946,62791766.45442025,135860892.400251,40812029.86887315,224255785.01929936,76396246.12260729
66.5,66841028.604941756,153542615.36879304,-24.807831078342293,16.465524898965963,61935259.52183398,136174691.2826939,61599196.6162919,136361306.08253202,39786061.763416626,224440077.04952696,75884262.55533592
67.0,65767579.147864416,154249875.20457757,-24.88863084838722,16.277968361400596,60761737.79519126,136702356.00779653,60406483.36807419,136849181.25090453,38759261.60252033,224619675.3106624,75374783.47299233
67.5,64690674.36715028,154949030.4188508,-24.967800934598607,16.09031345842149,59583721.06125785,137219907.82123464,59213966.98814901,137325004.37407738,37731650.859901994,224794576.04672417,74867811.45806058
68.0,63610384.512670025,155640077.0871812,-25.045348416990613,15.902575201363199,58401296.46687983,137727308.4357693,58021926.12142637,137789288.27919057,36703251.026231304,224964775.5999713,74363348.87796724
68.5,62526779.525724314,156323011.92936948,-25.12128050048635,15.714768404465236,57214551.48498609,138224520.31512278,56830575.243765935,138242564.87603298,35674083.60868015,225130270.41097984,73861397.88663886
69.0,61439929.033739336,156997832.30093575,-25.19560451068889,15.526907684945412,56023573.908117466,138711506.6767556,55640062.9781676,138685377.63909647,34644170.130473465,225291057.01871702,73361960.42606361
69.5,60349902.3451438,157664536.18461043,-25.26832788970355,15.339007463149505,54828451.84193201,139188231.49458742,54450471.284883715,139118273.94679263,33613532.13043841,225447132.0606141,72865038.22785944
70.0,59256768.44442548,158323122.1818346,-25.33945819201252,15.151081962775107,53629273.69868706,139654659.50166228,53261815.536064,139541797.37904498,32582191.16255424,225598492.27263635,72370632.81484322
70.5,58160595.98736443,158973589.50427058,-25.40900308040255,14.963145211167289,52426128.19069887,140110756.19275746,52074045.47386216,139956480.07501757,31550168.795501888,225745134.4893514,71878745.50260381
